Raw Feature,Feature,Direction,Coefficient
categorical__restecg_0 categorical__exang_0,Resting ECG Result = 0 (Normal) x Exercise-Induced Angina = 0 (No),Toward no heart disease,-0.9151313640243395
categorical__restecg_0 categorical__ca_0,Resting ECG Result = 0 (Normal) x Number of Major Vessels = 0,Toward heart disease,0.8818410930376129
categorical__cp_1 categorical__slope_2,Chest Pain Type = 1 (Atypical angina) x ST Slope = 2 (Downsloping),Toward heart disease,0.8779468257899199
numeric__thalachh categorical__exang_0,Maximum Heart Rate x Exercise-Induced Angina = 0 (No),Toward heart disease,0.8571729633977127
categorical__sex_1 categorical__exang_1,Sex = 1 (Male) x Exercise-Induced Angina = 1 (Yes),Toward heart disease,0.8474929654539615
numeric__trestbps numeric__oldpeak,Resting Blood Pressure x Oldpeak,Toward no heart disease,-0.8380970190907486
numeric__oldpeak categorical__slope_1,Oldpeak x ST Slope = 1 (Flat),Toward no heart disease,-0.826576459557082
categorical__restecg_1 categorical__thal_2,Resting ECG Result = 1 (ST-T wave abnormality) x Thalassemia Result = 2 (Normal),Toward no heart disease,-0.8243075634676427
categorical__cp_3 categorical__thal_2,Chest Pain Type = 3 (Asymptomatic) x Thalassemia Result = 2 (Normal),Toward no heart disease,-0.7905957896160759
numeric__trestbps numeric__thalachh,Resting Blood Pressure x Maximum Heart Rate,Toward no heart disease,-0.7523571476624427
numeric__age categorical__slope_2,Age x ST Slope = 2 (Downsloping),Toward no heart disease,-0.7485338743370655
numeric__trestbps categorical__exang_1,Resting Blood Pressure x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,-0.7289848950581495
categorical__fbs_1 categorical__ca_3,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Number of Major Vessels = 3,Toward heart disease,0.7023638653729142
categorical__slope_2 categorical__ca_1,ST Slope = 2 (Downsloping) x Number of Major Vessels = 1,Toward heart disease,0.6867930357376033
categorical__sex_1 categorical__cp_2,Sex = 1 (Male) x Chest Pain Type = 2 (Non-anginal pain),Toward heart disease,0.6867350068924442
numeric__oldpeak categorical__thal_2,Oldpeak x Thalassemia Result = 2 (Normal),Toward heart disease,0.6857213541085948
numeric__chol categorical__restecg_2,Cholesterol x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward heart disease,0.6749629007457721
categorical__sex_1 categorical__fbs_1,Sex = 1 (Male) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward heart disease,0.6725731037365726
numeric__thalachh categorical__restecg_0,Maximum Heart Rate x Resting ECG Result = 0 (Normal),Toward no heart disease,-0.6046829934716084
numeric__oldpeak categorical__ca_2,Oldpeak x Number of Major Vessels = 2,Toward no heart disease,-0.5955734239169792
categorical__fbs_1 categorical__exang_1,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,-0.5893390565516249
numeric__trestbps categorical__fbs_1,Resting Blood Pressure x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward heart disease,0.5856416806870326
numeric__trestbps categorical__restecg_2,Resting Blood Pressure x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward heart disease,0.5557061619512589
categorical__restecg_2 categorical__thal_7,Resting ECG Result = 2 (Left ventricular hypertrophy) x Thalassemia Result = 7,Toward heart disease,0.5323863504394968
categorical__restecg_2 categorical__slope_3,Resting ECG Result = 2 (Left ventricular hypertrophy) x ST Slope = 3,Toward no heart disease,-0.5285455555582028
